Total Items,,,,,,,,,,
Pass Items,,,,,,,,,,
Fail Items,,,,,,,,,,
NY Items,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Section,Main Title,Description,Testname,Priority,Method,Owner,Status,Milestone,Remark
,3.14,16 bits x cpol 1 x cpha 0,"-Cấu hình DUT và spi_vif với các tham số cấu hình ngẫu nhiên trong đó đảm bảo word = 16, cpol =1, cpha = 0, cdte = 1 kết hợp với việc chọn slaver_id từ 0 đến 3
-Cấu hình chế độ SLAVE cho spi_slave
-Giử ngẫu nhiên 3 dữ liệu từ DUT đến spi_vif và 3 dữ liệu từ spi_vif đến DUT.
-Kiểm tra và so sánh các dữ liệu đã gửi và nhận được ở cả hai bên.
Điều kiện đạt:
-Tất cả dữ liệu nhận đều đúng với dữ liệu gửi từ phía bên kia
-Slaver được chọn đúng với tham số cấu hình và không được nhả suốt thời gian truyền 3 frame dữ liệu","spi_en_16bit_cpol1_cpha0_slaver0_test
spi_en_16bit_cpol1_cpha0_slaver1_test
spi_en_16bit_cpol1_cpha0_slaver2_test
spi_en_16bit_cpol1_cpha0_slaver3_test",High,Directed,Huy,,,
,3.15,8 bits x cpol 1 x cpha 1,"-Cấu hình DUT và spi_vif với các tham số cấu hình ngẫu nhiên trong đó đảm bảo word = 8, cpol =1, cpha = 1, cdte = 1 kết hợp với việc chọn slaver_id từ 0 đến 3
-Cấu hình chế độ SLAVE cho spi_slave
-Giử ngẫu nhiên 3 dữ liệu từ DUT đến spi_vif và 3 dữ liệu từ spi_vif đến DUT.
-Kiểm tra và so sánh các dữ liệu đã gửi và nhận được ở cả hai bên.
Điều kiện đạt:
-Tất cả dữ liệu nhận đều đúng với dữ liệu gửi từ phía bên kia
-Slaver được chọn đúng với tham số cấu hình và không được nhả suốt thời gian truyền 3 frame dữ liệu","spi_en_8bit_cpol1_cpha1_slaver0_test
spi_en_8bit_cpol1_cpha1_slaver1_test
spi_en_8bit_cpol1_cpha1_slaver2_test
spi_en_8bit_cpol1_cpha1_slaver3_test",High,Directed,Huy,,,
,3.16,16 bits x cpol 1 x cpha 1,"-Cấu hình DUT và spi_vif với các tham số cấu hình ngẫu nhiên trong đó đảm bảo word = 16, cpol =1, cpha = 1, cdte = 1 kết hợp với việc chọn slaver_id từ 0 đến 3
-Cấu hình chế độ SLAVE cho spi_slave
-Giử ngẫu nhiên 3 dữ liệu từ DUT đến spi_vif và 3 dữ liệu từ spi_vif đến DUT.
-Kiểm tra và so sánh các dữ liệu đã gửi và nhận được ở cả hai bên.
Điều kiện đạt:
-Tất cả dữ liệu nhận đều đúng với dữ liệu gửi từ phía bên kia
-Slaver được chọn đúng với tham số cấu hình và không được nhả suốt thời gian truyền 3 frame dữ liệu","spi_en_16bit_cpol1_cpha1_slaver0_test
spi_en_16bit_cpol1_cpha1_slaver1_test
spi_en_16bit_cpol1_cpha1_slaver2_test
spi_en_16bit_cpol1_cpha1_slaver3_test",High,Directed,Huy,,,
,4,Kiểm tra interrupt,,,,,,,,
,4.1,rx_fifo_empty,"-Ghi 1 vào bit en_rx_fifo_empty của thanh ghi ISE để bật rx_fifo_empty interrupt
- Cấu hình DUT và spi_vif với các tham số cấu hình ngẫu nhiên và đảm bảo mode của spi_vif là SLAVER
- Gửi 1 dữ liệu từ spi_vif đến DUT
-Đọc FSR và ghi lại thời gian lần đầu chân interrupt được bật
-Chờ spi_vif gửi xong và SS được nhả, đọc FSR và kiểm tra thời điểm interrupt bật lần 2
Điều kiện đạt:
Ở lần đầu, rx_empty_status = 0 và interrupt = 0
Ở lần thứ 2, rx_empty_status = 1 và interrupt = 1",interrupt_rx_empty_en_test,High,Directed,Huy,,,
,4.2,disable rx_fifo_empty,"-Ghi 0 vào bit en_rx_fifo_empty của thanh ghi ISE để tắt rx_fifo_empty interrupt
- Cấu hình DUT và spi_vif với các tham số cấu hình ngẫu nhiên và đảm bảo mode của spi_vif là SLAVER
- Gửi 1 dữ liệu từ spi_vif đến DUT
-Đọc FSR và ghi lại thời gian lần đầu chân interrupt được bật
-Chờ spi_vif gửi xong và SS được nhả, đọc FSR và kiểm tra thời điểm interrupt bật lần 2
Điều kiện đạt:
Ở lần đầu, rx_empty_status = 0 và interrupt = 0
Ở lần thứ 2, rx_empty_status = 1 và interrupt = 0",interrupt_rx_empty_dis_test,High,Directed,Huy,,,
,4.3,rx_fifo_full,"-Ghi 1 vào bit en_rx_fifo_full của thanh ghi ISE để bật rx_fifo_full interrupt
- Cấu hình DUT và spi_vif với các tham số cấu hình ngẫu nhiên và đảm bảo mode của spi_vif là SLAVER
- Gửi 15 dữ liệu từ spi_vif đến DUT, đợi 15 frame dữ liệu được gửi xong
-Đọc FSR và ghi lại thời gian lần đầu chân interrupt được bật
- Gửi thêm 1 dữ liệu từ spi_vif đến DUT, đợi nó gửi xong
-Đọc FSR và kiểm tra thời điểm interrupt bật lần 2
Điều kiện đạt:
Ở lần đầu, rx_empty_status = 0 và interrupt = 0
Ở lần thứ 2, rx_empty_status = 1 và interrupt = 1",interrupt_rx_full_en_test,High,Directed,Huy,,,
,4.4,disable rx_fifo_full,"-Ghi 0 vào bit en_rx_fifo_full của thanh ghi ISE để tắt rx_fifo_full interrupt
- Cấu hình DUT và spi_vif với các tham số cấu hình ngẫu nhiên và đảm bảo mode của spi_vif là SLAVER
- Gửi 15 dữ liệu từ spi_vif đến DUT, đợi 15 frame dữ liệu được gửi xong
-Đọc FSR và ghi lại thời gian lần đầu chân interrupt được bật
- Gửi thêm 1 dữ liệu từ spi_vif đến DUT, đợi nó gửi xong
-Đọc FSR và kiểm tra thời điểm interrupt bật lần 2
Điều kiện đạt:
Ở lần đầu, rx_empty_status = 0 và interrupt = 0
Ở lần thứ 2, rx_empty_status = 1 và interrupt = 0",interrupt_rx_full_dis_test,High,Directed,Huy,,,
,4.5,tx_fifo_empty,"-Ghi 1 vào bit en_tx_fifo_empty của thanh ghi ISE để bật tx_fifo_empty interrupt
- Cấu hình DUT và spi_vif với các tham số cấu hình ngẫu nhiên và đảm bảo mode của spi_vif là SLAVER
-Đọc FSR và ghi lại thời gian lần đầu chân interrupt được bật
- Ghi 1 frame dữ liệu vào TBR
-Đọc FSR và kiểm tra thời điểm interrupt bật lần 2
Điều kiện đạt:
Ở lần đầu, rx_empty_status = 0 và interrupt = 0
Ở lần thứ 2, rx_empty_status = 1 và interrupt = 1",interrupt_tx_empty_en_test,High,Directed,Huy,,,
,4.6,disable tx_fifo_empty,"-Ghi 0 vào bit en_tx_fifo_empty của thanh ghi ISE để tắt tx_fifo_empty interrupt
- Cấu hình DUT và spi_vif với các tham số cấu hình ngẫu nhiên và đảm bảo mode của spi_vif là SLAVER
-Đọc FSR và ghi lại thời gian lần đầu chân interrupt được bật
- Ghi 1 frame dữ liệu vào TBR
-Đọc FSR và kiểm tra thời điểm interrupt bật lần 2
Điều kiện đạt:
Ở lần đầu, rx_empty_status = 0 và interrupt = 0
Ở lần thứ 2, rx_empty_status = 1 và interrupt = 0",interrupt_tx_empty_dis_test,High,Directed,Huy,,,
,4.7,tx_fifo_full,"-Ghi 1 vào bit en_tx_fifo_full của thanh ghi ISE để bật tx_fifo_full interrupt
- Cấu hình DUT và spi_vif với các tham số cấu hình ngẫu nhiên và đảm bảo mode của spi_vif là SLAVER
- Ghi 16 frame dữ liệu vào TBR
-Đọc FSR và ghi lại thời gian lần đầu chân interrupt được bật
- Ghi 1 frame dữ liệu vào TBR
-Đọc FSR và kiểm tra thời điểm interrupt bật lần 2
Điều kiện đạt:
Ở lần đầu, rx_empty_status = 0 và interrupt = 0
Ở lần thứ 2, rx_empty_status = 1 và interrupt = 1",interrupt_tx_full_en_test,High,Directed,Huy,,,
,4.8,disable tx_fifo_full,"-Ghi 0 vào bit en_tx_fifo_empty của thanh ghi ISE để tắt tx_fifo_empty interrupt
- Cấu hình DUT và spi_vif với các tham số cấu hình ngẫu nhiên và đảm bảo mode của spi_vif là SLAVER
- Ghi 16 frame dữ liệu vào TBR
-Đọc FSR và ghi lại thời gian lần đầu chân interrupt được bật
- Ghi 1 frame dữ liệu vào TBR
-Đọc FSR và kiểm tra thời điểm interrupt bật lần 2
Điều kiện đạt:
Ở lần đầu, rx_empty_status = 0 và interrupt = 0
Ở lần thứ 2, rx_empty_status = 1 và interrupt = 0",interrupt_tx_full_dis_test,High,Directed,Huy,,,
,5,Kiểm tra cấu hình động,,,,,,,,
